text,start,duration,time_midpoint,vader,textblob,llama3
still stands,103.7,6.64,107.02,0.0,0.0,0.4
the Comanches called it squash head Rock,106.02,7.02,109.53,0.0,0.0,0.2
time cannot change its impassive face,110.34,5.819,113.2495,0.0,-0.4,-0.7
nor dim the legend of the wild young,113.04,6.24,116.16,0.0,0.10000000000000002,0.7
lovers who found heaven and hell,116.159,5.82,119.069,0.2732,0.0,0.5
in the shadows of The Rock,119.28,5.1,121.83,0.0,0.0,0.7
for when the sun is low and the cold,121.979,4.801,124.3795,-0.2732,-0.3,0.4
wind blows across the desert,124.38,4.5,126.63,0.0,0.0,0.2
there are those of Indian blood who,126.78,4.56,129.06,0.0,0.0,0.2
still speak of pearl Chavez the,128.88,4.2,130.98,0.0,0.0,0.2
half-breed girl from down along the,131.34,4.2,133.44,0.0,-0.15555555555555559,0.2
border and of the Laughing Outlaw with,133.08,5.82,135.99,0.4939,0.0,0.4
whom she here kept a final Rondon,135.54,6.36,138.72,0.0,0.0,-0.7
never to be seen again,138.9,5.699,141.7495,0.0,0.0,0.5
and this is what the legend says,141.9,6.419,145.1095,0.0,0.0,0.4
a flower no nowhere else grows from out,144.599,5.581,147.3895,-0.296,0.0,0.7
of the desperate Crags where Pearl,148.319,6.121,151.37949999999998,-0.3182,-0.6,0.4
vanished Pearl was herself a wildflower,150.18,6.779,153.5695,0.0,0.0,0.5
sprung from the hard clay,154.44,4.98,156.93,-0.1027,-0.2916666666666667,0.4
quick to Blossom,156.959,5.601,159.7595,0.0,0.3333333333333333,0.7
and early to die,159.42,3.14,160.98999999999998,-0.5994,0.1,-0.7
where's you more,190.44,4.86,192.87,0.0,0.5,0.4
she's in there dance like mother like,192.3,5.159,194.8795,0.6124,0.0,0.7
I'm convincing to think I like the,197.459,5.101,200.0095,0.6369,0.5,0.3
daughter better let go,199.26,5.839,202.1795,0.4404,0.5,-0.7
you go away from here I'll call my paw,202.56,6.3,205.71,0.0,0.0,-0.7
that Renegade Creole score man that's a,205.099,5.441,207.8195,0.0,0.0,0.7
broke again yes gentlemen,362.759,4.921,365.2195,-0.0258,0.0,-0.7
but there are greater Treasures but I'm,365.88,2.94,367.35,0.7876,0.5,0.4
sure you wouldn't understand,367.68,20.489,377.9245,0.3182,0.5,-0.7
oh you take me in the Presidio I ain't,413.88,4.62,416.19,0.0,0.0,0.4
never been in there and you never should,416.94,2.819,418.3495,0.0,0.0,0.3
what are you doing out here this hour,419.759,4.141,421.8295,0.0,0.0,-0.8
anywhere I was just dancing I've told,421.08,4.08,423.12,0.0,0.0,0.7
your mother repeated that this street is,423.9,3.239,425.5195,0.0,0.0,0.2
no place for a girl your age,425.16,5.72,428.02,-0.296,0.0,-0.7
I didn't mean no harmful,427.139,3.741,429.0095,0.2235,-0.3125,0.3
it's my fortune I'm not yours,433.919,6.861,437.3495,0.0,0.0,-0.7
the sins of the fathers,437.039,3.741,438.9095,-0.4588,0.0,-0.7
I'll be back in a little while,444.539,9.121,449.0995,0.0,-0.09375,0.5
I feel no mitigating circumstances they,487.139,5.161,489.7195,-0.296,0.0,-0.7
deserve to die as I deserve to die,489.18,4.98,491.67,-0.8316,0.0,-0.9
for a long since killed a person much,492.3,3.78,494.19,-0.6705,-0.016666666666666663,-0.7
Superior to either of them,494.16,3.78,496.05,0.5423,0.7,0.4
I killed that person the day I gave my,497.94,3.9,499.89,-0.6705,-0.2,-0.7
family's name to the woman who became my,499.979,3.66,501.809,0.0,0.0,0.7
and since I believe the punishment,503.639,3.24,505.259,-0.4939,0.0,0.4
should fit the crime,505.319,3.361,506.9995,-0.25,0.4,0.6
I suggested you hang me by the neck,506.879,3.371,508.5645,0.0,0.0,-0.8
until I'm dead,508.68,5.7,511.53,-0.6486,-0.2,-0.8
from Laura Bell,514.38,4.62,516.6899999999999,0.0,0.0,0.3
if you ever tell you about it Pearl,516.599,5.36,519.279,0.0,0.0,0.7
I'm a second cousin,519.0,2.959,520.4795,0.0,0.0,0.2
yes Laura Bell is my second cousin but,522.839,6.841,526.2595,0.2144,0.0,0.2
she was more than that to me you see,525.18,8.94,529.65,0.0,0.5,0.7
once upon a time in a different age,529.68,6.36,532.8599999999999,0.0,0.0,0.4
in a different age in all such a,534.12,4.2,536.22,0.0,0.0,0.4
different world,536.04,4.38,538.23,0.0,0.0,0.4
I was in love,538.32,4.139,540.3895,0.6369,0.5,0.8
I am wonderful to believe the lady was,540.42,4.44,542.64,0.5719,1.0,0.7
in love with me,542.459,3.961,544.4395,0.6369,0.5,0.8
all right now you must look at me as,544.86,2.82,546.27,0.0,0.2857142857142857,0.4
well that was impossible I was quite,546.42,5.06,548.9499999999999,0.2732,-0.6666666666666666,0.3
good looking at my damn very dashy,547.68,3.8,549.5799999999999,0.0516,0.44999999999999996,0.7
and that's why this,554.279,4.441,556.4995,0.0,0.0,0.2
very wonderful girl,555.959,5.0,558.459,0.6115,1.0,0.8
might have been your mother,558.72,5.22,561.33,0.0,0.0,-0.7
decided on security,560.959,5.081,563.4994999999999,0.34,0.0,0.6
gave herself in wedlock to a wealthy,563.94,4.5,566.19,0.3612,0.5,-0.7
Yankee better you only got five minutes,566.04,4.64,568.36,0.4404,0.25,0.7
really it is,579.12,3.02,580.63,0.0,0.2,0.4
your mother and I can't hurt you any,583.56,3.959,585.5395,0.4168,0.0,-0.7
longer Laura Bell wants my little girl,585.12,4.92,587.58,0.0,0.0062500000000000056,-0.7
to go to her here's just a few more,587.519,5.161,590.0995,0.0,0.15,0.5
weeks and at last you'll have a home the,590.04,5.22,592.65,0.0,0.0,0.4
mother you should have had,592.68,6.34,595.8499999999999,0.0,0.0,-0.7
oh no no imagine me,595.26,5.1,597.81,0.2235,0.0,-0.7
I've been a good childhood,600.36,3.96,602.34,0.4404,0.7,0.7
through some miracle your good and,602.519,3.841,604.4395,0.7717,0.7,0.8
you're decent and you're strong,604.32,5.579,607.1095,0.5106,0.3,0.7
now you must prove that you are strong,606.36,6.539,609.6295,0.5106,0.4333333333333333,0.7
you will do that's when I want you down,609.899,5.281,612.5395,0.0772,-0.15555555555555559,-0.7
no tears no grief,612.899,3.721,614.7595,0.6348,0.4,0.2
keep this calf,622.04,5.04,624.56,0.0,0.0,0.7
we're at it sometimes,624.86,5.7,627.71,0.0,0.0,0.2
get her out of here,627.08,3.48,628.82,0.0,0.0,-0.7
listen to me Donnie we've had a little,630.62,6.52,633.88,0.0,-0.1875,0.4
time I wanted to lean on Laura Bell I'll,633.42,5.479,636.1595,0.0,0.0,0.2
make her your inspiration and your guide,637.14,4.319,639.2995,0.5267,0.0,0.8
and then one day you'll be the great,638.899,4.601,641.1995000000001,0.6249,0.8,0.6
lady I've always wanted you to be,641.459,3.481,643.1995,0.0,0.0,0.5
promise me that,644.94,4.26,647.07,0.3182,0.0,0.7
grocery Hood,649.2,3.92,651.1600000000001,0.0,0.0,0.2
she'll love you or know she will,653.12,4.36,655.3,0.6369,0.5,0.8
and you must give her all the love,656.04,3.62,657.8499999999999,0.6369,0.5,0.8
you've had for me,657.48,5.64,660.3000000000001,0.0,0.0,0.7
smile for me bro,666.5,4.959,668.9795,0.3612,0.3,0.7
very strong,678.56,3.66,680.39,0.5563,0.5633333333333334,0.9
all threats of hell and hopes of,692.1,3.54,693.87,-0.6808,0.0,0.2
one thing at least is certain this life,695.64,4.16,697.72,0.2732,-0.04285714285714286,-0.5
one thing is certain and the rest is,699.8,4.24,701.92,0.2732,0.21428571428571427,0.2
a flower that once has blown,704.04,5.239,706.6595,0.0,0.0,0.2
diesel quiet reddish chef,709.279,5.161,711.8595,0.0,0.0,0.3
I beg your pardon uh,736.339,7.06,739.869,0.3182,0.0,0.2
you can't be what's your name none of,740.16,5.54,742.93,0.0,0.0,-0.7
your business,743.399,2.301,744.5495,0.0,0.0,0.4
I I really am sorry I I wonder if I,751.26,6.72,754.62,-0.1477,-0.5,-0.7
could I don't talk to no strangers,754.74,6.3,757.89,0.2235,0.0,-0.7
that's a good rule generally I I grant,757.98,7.46,761.71,0.6597,0.375,0.7
you but well in this case it,761.04,4.4,763.24,0.3919,0.0,0.2
oh come on why don't you answer just one,765.839,3.601,767.6395000000001,0.0,0.0,-0.7
well what is it did you see a little,769.44,6.74,772.8100000000001,0.2732,-0.1875,0.3
Southern tot on the Guadalupe coach no,771.959,4.221,774.0695,-0.296,0.0,0.4
are you sure she was cradling alone you,776.639,4.921,779.0995,0.0772,0.5,-0.7
said one question,779.399,4.141,781.4695,0.0,0.0,0.2
leave unreasonable if you now you go,781.56,4.2,783.66,-0.0516,0.0,-0.7
away and leave me alone I know all about,783.54,5.0,786.04,-0.296,0.0,-0.7
men like you,785.76,2.78,787.15,0.3612,0.0,0.8
good morning,789.779,2.481,791.0195,0.4404,0.7,0.7
it couldn't have been a little more,793.5,3.3,795.15,0.0,0.15625,-0.7
explicit about just which coach they,795.0,3.899,796.9495,0.0,0.0,0.3
were sending her on oh worry Jesse I'll,796.8,3.539,798.5695,-0.4404,0.0,0.4
drive her out the ridge whenever she,798.899,3.12,800.459,0.0,0.0,0.4
shows up thanks let me count unless,800.339,3.3,801.989,0.4404,0.2,0.6
she's one of those well brought up,802.019,3.421,803.7295,0.2732,0.0,0.2
Southern children that probably be,803.639,4.081,805.6795,0.0,0.0,0.4
hungry and crying her eyes out well I'll,805.44,4.74,807.8100000000001,-0.25,-0.2,-0.7
give us some blow her nose for us thanks,807.72,5.179,810.3095000000001,0.4404,0.2,0.2
again lamb,810.18,2.719,811.5395,0.0,0.0,0.2
give my regards you old man I will,816.959,8.0,820.959,0.0,0.1,-0.7
say hello Laura Bell for me,821.22,3.739,823.0895,0.0,0.0,0.3
I said you know somebody named Laura,831.779,3.781,833.6695,0.0,0.0,0.3
none of your business it is my business,835.56,5.7,838.41,0.0,0.0,0.7
I don't talk to no stranger you can,838.019,4.861,840.4495000000001,0.2235,0.0,0.6
answer one question can't you that won't,841.26,3.66,843.09,0.0,0.0,-0.7
hurt you none all right one question but,842.88,4.56,845.16,-0.296,0.2857142857142857,0.2
remember just one I know all about girls,844.92,5.7,847.77,0.0,0.0,0.4
like you don't you dare say that,847.44,5.72,850.3000000000001,0.3612,0.0,-0.7
how'd you know my name you hadn't been,853.32,3.84,855.24,0.0,0.0,0.4
so uppity I'd have known who you were a,855.48,2.88,856.9200000000001,0.0,0.0,-0.7
long time ago,857.16,4.26,859.29,0.0,-0.05,0.2
now come on get in who are you,858.36,4.919,860.8195000000001,0.0,0.0,0.3
my mother couldn't come to meet you so I,861.42,3.18,863.01,0.0,0.0,-0.7
came in her place,863.279,4.8,865.679,0.0,0.0,-0.5
I'm Laura Bell's son the older one Jesse,864.6,6.44,867.82,0.0,0.16666666666666666,0.4
Carl I'm sorry about not recognizing you,886.44,6.3,889.59,-0.0772,-0.5,-0.7
I guess you're closed sort of fool me,888.959,5.101,891.5095,-0.4927,-0.1,0.5
well don't misunderstand me I think,892.74,2.52,894.0,0.4956,0.0,0.2
they're beautiful,894.06,4.139,896.1294999999999,0.5994,0.85,-0.7
you do it is very unusual,895.26,4.98,897.75,0.0,0.26,0.8
but you know it's girl I think I'd like,898.199,4.44,900.419,0.5023,0.0,0.7
