text,start,duration,line_no,midpoint,sentiment-vader,sentiment-textblob,sentiment-ollama,sentiment-vader_norm,sentiment-textblob_norm,sentiment-ollama_norm
[Music],0.72,3.32,1,2.38,0.0,0.0,0.0,-1.2839469203480085,-1.1789379287512163,
so,8.32,3.0,2,9.82,0.0,0.0,0.0,-1.277388430963089,-1.174543116953085,
[Music],11.36,6.24,3,14.48,0.0,0.0,0.0,-1.2905303189685529,-1.1733319812030802,
so,19.92,3.0,4,21.42,0.0,0.0,0.0,-1.2800984005236666,-1.173258893041359,
[Music],24.85,53.43,5,51.565,0.0,0.0,0.0,-1.2832673904224188,-1.1826560163240567,
do,75.28,3.0,6,76.78,0.0,0.0,0.0,-1.2829127305822863,-1.1759654066967595,
yes sir that's it,87.84,3.919,7,89.79950000000001,0.4019,0.0,0.0,0.547448884844703,-1.1660745543394344,
the overland mail,89.759,5.881,8,92.6995,0.0,0.0,0.0,0.3161110587589137,-1.1674061275142407,
san francisco to st louis in 25 days,91.759,8.801,9,96.1595,0.0,0.0,0.0,0.14547993639776885,-1.1723258507321628,
2700 miles in 25 days and 25 nights when,95.64,7.159,10,99.2195,0.0,0.0,0.0,0.006566394480814919,-1.1804223365920556,
the weather and engines behave,100.56,4.08,11,102.60000000000001,0.0,0.0,0.0,-0.1502265527997162,-1.1942862713121385,
a lot farther and longer when they,102.799,3.36,12,104.47900000000001,0.0,0.0,0.0,-0.21878390806942008,-1.2003998117861856,
didn't,104.64,3.839,13,106.5595,0.0,0.0,0.0,-0.2778793118897009,-1.1794929908766505,
people said it couldn't be done,106.159,4.721,14,108.51950000000001,0.0,0.0,0.0,-0.32132849625831317,-1.1040965637001272,
they laughed and called it the jackass,108.479,3.761,15,110.3595,0.0516,0.09999999999999998,0.0,-0.3547816772310713,-0.9861945058246953,
mail,110.88,4.559,16,113.1595,0.0,0.0,0.0,-0.3992656573375537,-0.9239092948872141,
but when mail and passengers in gold,112.24,5.6,17,115.03999999999999,0.0,0.0,0.0,-0.4290187907312411,-0.9972726790024523,
began coming through from california day,115.439,5.201,18,118.03949999999999,0.0,0.0,0.0,-0.4778510231463351,-0.9441988383258137,
in day out the whole country sat up and,117.84,4.559,19,120.1195,0.0,0.2,0.0,-0.5123018567194875,-0.6460418163425219,
took notice,120.64,4.0,20,122.64,0.0,0.0,0.0,-0.5542102055063851,-0.614399150435496,
san francisco to singapore,122.399,4.801,21,124.7995,0.0,0.0,0.0,-0.5897299537697255,-0.6718835668161205,
the shortest fastest back-breakingest,124.64,5.44,22,127.36,0.0,0.0,0.0,-0.6298307504117513,-0.7064982954654477,
ride you could buy for 200 gold,127.2,4.88,23,129.64000000000001,0.0,0.0,0.0,-0.6621095217319085,-0.6890009768042308,
meals included,130.08,5.8,24,132.98000000000002,0.0,0.0,0.0,-0.700404018813734,-0.7400265406940326,
yes sir that's it the jackass made,132.08,10.64,25,137.4,-0.0258,-0.5,0.0,-0.7275678556449405,-1.4500220743434036,
[Music],135.88,8.999,26,140.3795,0.0,0.0,0.0,-0.7321940119232087,-1.4674410537323257,
this is the relay station at rawhide,142.72,4.96,27,145.2,0.0,0.0,0.0,-0.7926788905838635,-1.3805562117142078,
pass one of many strung along the 2700,144.879,4.08,28,146.91899999999998,0.0,0.5,0.0,-0.8333441073760739,-0.8964897951671875,
mile rule,147.68,2.88,29,149.12,0.0,0.0,0.0,-0.7399586251209997,-0.6930871097434,
