text,start,duration,line_no,midpoint,sentiment-vader,sentiment-textblob,sentiment-ollama,sentiment-vader_norm,sentiment-textblob_norm,sentiment-ollama_norm
[Applause],16.14,30.44,1,31.36,0.4215,0.0,0.85,11.192274061430423,-1.949665142142542,13.962190825728582
[Music],19.36,27.96,2,33.34,0.0,0.0,0.5,4.243714704785972,-1.9207325486388798,10.52844449475663
[Applause],46.58,63.819,3,78.48949999999999,0.4215,0.0,0.85,6.559837829667395,-1.933375579890697,11.672996494706327
[Music],47.32,65.159,4,79.8995,0.0,0.0,0.5,4.243735330347711,-1.9418962279457093,10.528279951354376
should not be pronounced know your honor,110.399,4.481,5,112.6395,0.4939,0.0,-0.1,6.112423150922903,-1.9270384202312747,7.496567209288441
yes i have something to say,112.479,4.481,6,114.7195,0.4019,0.0,0.5,6.8454823004093655,-1.9164991775439943,7.393226689845297
you can put me away but you can't put,114.88,3.599,7,116.67949999999999,0.0,0.0,-0.1,5.488908079329418,-1.9812555026433527,5.728078922155115
away what's going to happen to you and,116.96,2.88,8,118.39999999999999,0.0,0.0,-0.1,4.462716451576328,-1.9081035268074273,4.369119712079324
to this whole country,118.479,4.161,9,120.5595,0.0,0.2,0.0,3.659206215689499,-0.944290340350386,3.6327079134877027
next time next time we are going to say,119.84,5.12,10,122.4,0.0,0.0,0.35,3.0345070942598396,-0.9556974736111338,3.6254029563662447
anymore,122.64,2.32,11,123.8,0.0,0.0,0.2,2.5028758465661727,-1.1483190362894875,3.4603316811040328
it is the judgment of this court that,126.56,3.36,12,128.24,0.0,0.0,0.0,2.0811427503383886,-1.1511383060764735,2.9046092613746124
the defendant john hubermann,128.08,3.76,13,129.96,0.0,0.0,0.0,1.6871061985357827,-1.2421068190954998,2.535074386218188
having been found guilty of the crime of,129.92,3.76,14,131.79999999999998,-0.743,-0.5,-0.2,-0.341785854540533,-2.915765593153045,1.7791252239224111
treason against the united states,131.84,3.44,15,133.56,-0.0258,0.0,-0.9,-0.5809420324886913,-2.858279844667327,0.4016391316369801
by the jury of this court for the,133.68,4.24,16,135.8,0.0,0.0,-0.1,-0.7081528737068807,-2.7884752713282124,0.03012688115345542
southern district of florida at miami,135.28,4.08,17,137.32,0.0,0.0,0.35,-0.8202086920838051,-2.765798804297113,0.2776031660512041
be committed to the custody of the,137.92,3.28,18,139.55999999999997,0.2732,0.0,0.2,-0.4273402088849385,-2.6660161609200235,0.3512423237125699
united states attorney general,139.36,4.08,19,141.4,0.4215,0.05000000000000002,0.1,0.18202512151327552,-2.5806245111535278,0.25850945384379126
for imprisonment in an institution of,141.2,4.56,20,143.48,0.0,0.0,-0.2,0.03855312974301313,-2.510735814860006,-0.04926655942353175
the penitentiary type for a period of 20,143.44,3.84,21,145.35999999999999,0.0,0.0,-0.1,-0.0841528212887979,-2.4704413423748544,-0.2985798131582992
years,145.76,3.199,22,147.3595,0.0,0.0,0.0,-0.22762290077287217,-2.443328177597307,-0.38966556143650755
and the defendant may be fought with,147.28,3.44,23,149.0,-0.3182,0.0,-0.1,-0.7503684416131258,-2.427999470554581,-0.5933758363195618
remanded to the custody of the united,148.959,2.64,24,150.279,0.4215,0.0,-0.1,-0.2887477893655988,-2.4189905526904645,-0.7536189172141651
states marshall,150.72,7.12,25,154.28,0.0,0.0,0.15,-0.38466989410232943,-2.4006360942413836,-0.6589302445083165
what is now again here she comes,151.599,6.241,26,154.71949999999998,0.0,0.0,0.3,-0.45044476670620415,-2.3990073351134664,-0.6208498975710411
[Applause],160.04,3.559,27,161.8195,0.4215,0.0,0.85,-0.03149457802168956,-2.354517901852385,-0.023787769332703393
we'd like a statement from you ms,162.319,3.28,28,163.95899999999997,0.3612,0.0,0.2,0.2924562249383091,-2.3254778133033094,0.02682200662874982
huberman about your father for instance,163.599,3.121,29,165.15949999999998,0.0,0.0,0.1,0.2140339861634819,-2.3151404971388105,-0.04348237983927706
do you think your father got what he,165.599,1.761,30,166.4795,0.0,0.0,0.1,0.052441471930743944,-2.378084881988226,-0.012414244389038862
deserved,166.72,1.76,31,167.6,0.0,0.0,0.5,0.09187736969028966,-2.264260109758347,0.23136470023281627
could we say that you're pleased your,167.36,2.239,32,168.4795,0.4404,0.5,0.65,0.3078856247090543,-1.5950330920582596,0.44628978874163966
father is going to pay the penalty for,168.48,4.0,33,170.48,-0.5267,0.0,0.1,-0.1956016067724411,-1.577719009481278,0.5044419593774021
being a german worker,169.599,2.881,34,171.03949999999998,0.0,0.0,0.2,-0.34409852642479144,-1.6050524723934265,0.4653599063232603
let us know if she tries to leave town,172.8,13.04,35,179.32000000000002,-0.0516,-0.1,-0.1,-0.43310443295403395,-1.737823993940813,0.33569595675637326
would you care to pause for some,188.159,3.44,36,189.879,0.4939,0.0,0.15,-0.02558247486154791,-1.7553694657312586,0.3725588840833357
refreshments mister hop kids,189.44,4.079,37,191.4795,0.0,0.0,0.2,-0.1432887021467504,-1.732981845224574,0.2981880525207831
alicia were you really followed by a,191.599,4.161,38,193.6795,0.0,0.2,-0.15,-0.16299925997606482,-1.5165528177137213,0.23964956359889297
policeman it sounds very exciting i'm,193.519,3.281,39,195.1595,0.5413,0.39,0.5,0.20137957236494586,-1.0732677980803254,0.3679319550077557
going to shoot it out with him,195.76,3.36,40,197.44,-0.34,0.0,0.1,-0.14726284948881113,-1.0613605913334976,0.3364771541319531
no thanks have enough serve you don't be,196.8,3.84,41,198.72,-0.3412,-0.05,-0.2,-0.46417277087570197,-1.1920818151770238,0.18507976015082606
silly the important drinking hasn't,199.12,2.32,42,200.28,0.2263,-0.04999999999999999,-0.3,-0.38107402024195114,-1.2103352189843708,-0.017583681289662846
started yet,200.64,2.56,43,201.92,0.0,0.0,0.2,-0.37774221243230727,-1.2775198444276548,-0.013961748532506221
everybody down here's got a stuffed fish,201.44,3.76,44,203.32,0.0,-0.15555555555555559,0.2,-0.4865277621302966,-1.4122253779869511,0.02222848441981511
hanging on the wall where'd they get it,203.2,4.01,45,205.20499999999998,0.0,0.0,-0.1,-0.49923273168047627,-1.4467110257796285,-0.05946546334138118
never seen a fish how about you handsome,205.2,3.2,46,206.79999999999998,0.4939,0.5,0.35,-0.21354346016330736,-0.9512713295006165,-0.004854164282043415
[Music],207.21,3.99,47,209.205,0.0,0.0,0.25,-0.2517018919245901,-0.9715741279039354,0.05641557719868337
haven't i seen you somewhere before well,208.4,4.399,48,210.5995,0.2732,0.0,0.1,-0.12807359584346717,-0.997462839698894,0.05616769481699555
it doesn't matter,211.2,4.16,49,213.28,-0.0191,0.0,0.1,-0.18386835143307406,-1.0054696173331856,0.03227483766944937
i like party crashers he's not a party,212.799,4.481,50,215.0395,0.4482,0.0,0.2,0.05471580293161251,-1.032843305787981,0.028127661407423222
crasher i brought him,215.36,3.76,51,217.24,0.0,0.0,0.1,0.003945523625617165,-1.0613776132513981,0.04378001184065585
oh mr harper i wouldn't mind being,217.28,3.44,52,219.0,0.0,0.0,0.2,-0.0465700580385646,-1.0485906044673459,0.07109453180032295
followed by a cop,219.12,3.28,53,220.76,0.0,0.0,0.15,-0.10285185514609556,-1.0924956452027534,0.029601343354500355
i hate low underhanded people like,220.72,3.599,54,222.5195,-0.5106,-0.4,-0.85,-0.455319717713101,-1.428965959610007,-0.26297090501060016
policemen who is he putting after you,222.4,3.199,55,223.9995,0.0,0.0,-0.1,-0.49922916100409,-1.4627016594670825,-0.40845553459555856
because i'm a marked woman,224.319,3.28,56,225.95899999999997,0.0,0.1,-0.7,-0.5470944756230669,-1.3606502267590934,-0.660258645325291
no i'm liable to blow up the panama,225.599,3.121,57,227.15949999999998,-0.296,0.05,-0.2,-0.7367483891831922,-1.3357544399357497,-0.758927454719826
canal any minute now,227.599,3.2,58,229.19899999999998,0.0,0.0,0.35,-0.7950715761342604,-1.3946916807348197,-0.722027667874772
you want some ivs in it no thank you,228.72,3.519,59,230.4795,-0.2047,0.0,-0.15,-0.9168682344383754,-1.324684788452752,-0.7321884172666898
it's not for coming for a lovely girl,230.799,3.201,60,232.39950000000002,0.5859,0.5,0.6,-0.6424856794814013,-1.0055414903364646,-0.6314121781695673
like you'd be worried about policeman,232.239,4.481,61,234.4795,0.0772,0.0,-0.2,-0.6278000661582785,-0.9869782013736459,-0.690371937879996
you won't be tomorrow oh really we sail,234.0,3.519,62,235.7595,0.0,0.2,0.2,-0.6550200799173341,-0.9015384551739933,-0.6871079401637697
at them,236.72,3.36,63,238.4,0.0,0.0,0.0,-0.7122506413725173,-0.8394210169477192,-0.6877254517938056
really we just sail away show me your,237.519,4.161,64,239.5995,0.0,0.2,0.15,-0.7305744709605586,-0.807273768692079,-0.7035536257250993
fish and i'll show your life what this,240.08,3.92,65,242.04000000000002,0.0,0.0,-0.1,-0.7050846150217223,-0.7662995002171179,-0.7516812915160331
party needs is a little gland treatment,241.68,3.839,66,243.5995,0.4019,-0.1875,0.1,-0.6168304299770341,-0.9328914883714312,-0.7854421808196133
we better start breaking up on this so i,244.0,3.2,67,245.6,0.4404,0.5,-0.25,-0.43730321575584996,-0.6014175899265397,-0.8214121984726849
have to be on board at nine,245.519,3.28,68,247.159,0.0,0.0,0.2,-0.3829912352027365,-0.6135128794608526,-0.8365665274956273
one week in havana and this whole thing,247.2,3.28,69,248.83999999999997,0.0,0.2,0.1,-0.4894535738630886,-0.5198010371960758,-0.8330742921354042
about your father will have blown over,248.799,4.08,70,250.839,0.0,0.0,0.2,-0.49405618898792536,-0.5055128680640438,-0.7860841436527233
do you love me commodore you're a very,250.48,3.679,71,252.31949999999998,0.6369,0.35,0.45,-0.2342685501258112,-0.33447239205077645,-0.6966342555288904
beautiful woman,252.879,2.801,72,254.27949999999998,0.5994,0.85,0.85,0.02258195375236407,0.19438005318955315,-0.5092264316710617
i'd have another drink to appreciate,254.159,3.121,73,255.71949999999998,0.4019,0.0,0.45,0.10761620033206831,0.193322357920187,-0.4093037661538717
that where are you going,255.68,3.92,74,257.64,0.0,0.0,0.0,0.1342770860875836,0.1247305271770376,-0.421929494844319
fishing this time of night you're um how,257.28,3.359,75,258.9595,0.0,0.0,-0.1,0.10398120935725547,0.11213384708774166,-0.4813971891149003
about you still watching,259.6,2.879,76,261.03950000000003,0.0,0.0,0.15,-0.01511862001189844,0.09988707120385291,-0.5348008909894049
us there's no fish day or night you know,260.639,3.681,77,262.47950000000003,-0.296,0.0,-0.1,-0.09632390836856003,0.06996056128861218,-0.481985856670784
something i like you,262.479,3.601,78,264.2795,0.3612,0.0,0.85,-0.0016235651161219324,0.010006640356194314,-0.3716384493462282
well i'll see you on board a little nine,264.32,4.319,79,266.4795,0.2732,-0.1875,0.45,0.04875779617588344,-0.07408649282599805,-0.2879686216533689
o'clock oh i i have to think that over,266.08,4.0,80,268.08,0.0,0.0,0.1,0.07087843594526515,-0.1262286348974137,-0.2538761367880232
well you don't have to back we'll pick,268.639,3.441,81,270.3595,0.2732,0.0,0.3,0.09888490450163098,-0.1612891497908656,-0.23214834155416192
up some things in havana i think i'll,270.08,3.52,82,271.84,0.0,0.0,0.15,0.09206600987853283,-0.14492288445277463,-0.2345163215260859
have to leave him here to dry out all,272.08,3.679,83,273.91949999999997,-0.0516,-0.06666666666666665,0.1,0.02329370351214974,-0.23232547443047716,-0.2738301782345665
this i'm very sorry you all have to go,273.6,3.36,84,275.28000000000003,-0.1513,-0.65,-0.6,-0.06080619121416647,-0.5966809395006163,-0.33503228742430546
it has been a perfectly,275.759,8.081,85,279.7995,0.6369,1.0,0.5,0.16016986446870507,-0.07394018795080515,-0.33961263888806753
hideous party good night,276.96,6.88,86,280.4,0.6808,0.7,0.2,0.37345680431113354,0.27742177520153755,-0.3279645631474749
[Music],284.61,10.269,87,289.7445,0.0,0.0,0.25,0.3452208358643225,0.25278954242486285,-0.2242479402538109
there's one more drink left to peace,296.4,4.239,88,298.5195,0.5423,0.25,0.6,0.5163782533039719,0.3549025539796028,-0.19329240467550152
shame about the ice,298.72,5.039,89,301.2395,-0.4767,0.0,0.1,0.29396814089452944,0.34027242001779806,-0.18111678354656366
what is gone who's gone,300.639,11.201,90,306.2395,0.0,0.0,0.1,0.2854713106822623,0.2965411666862384,-0.15742303310177108
the ice why do you like that song,303.759,8.081,91,307.7995,0.3612,0.0,0.15,0.35050764327192874,0.28618425144838633,-0.15909445858041288
because it's a lot of,314.08,3.28,92,315.71999999999997,0.0,0.0,0.1,0.33402392287984456,0.2650681254912073,-0.21700576269194446
