Timecode List:,00:02:35.322,00:02:39.701,00:04:58.381,00:05:02.135,00:05:03.720,00:05:07.974,00:05:23.073,00:05:24.449,00:05:38.797,00:05:41.466,00:11:39.574,00:11:41.492,00:11:42.827,00:11:48.333,00:11:50.835,00:11:54.839,00:12:26.996,00:12:50.311,00:12:52.897,00:12:56.150,00:13:00.196,00:13:02.949,00:13:09.330,00:13:11.082,00:13:14.377,00:13:21.134,00:13:28.307,00:13:29.350,00:13:44.574,00:14:03.217,00:14:07.638,00:15:39.063,00:15:41.023,00:15:44.652,00:15:45.945,00:15:47.613,00:16:04.338,00:16:09.719,00:16:17.560,00:16:57.225,00:18:31.944,00:18:38.701,00:18:39.952,00:19:04.810,00:19:09.482,00:19:15.696,00:19:44.975,00:19:52.108,00:20:30.187,00:20:40.906,00:20:43.617,00:20:46.412,00:20:48.539,00:20:51.667,00:20:53.752,00:21:11.187,00:22:56.875,00:23:21.609,00:23:28.157,00:26:10.402,00:26:14.448,00:26:35.302,00:26:47.815,00:26:53.195,00:26:57.533,00:28:00.095,00:28:05.392,00:28:16.862,00:28:26.038,00:29:20.300,00:29:24.638,00:29:28.100,00:29:33.146,00:29:40.112,00:29:43.448,00:29:45.492,00:29:50.747,00:29:57.337,00:30:02.092,00:31:03.111,00:32:04.381,00:32:51.094,00:33:04.566,00:34:18.431,00:34:32.445,00:34:34.990,00:34:36.491,00:34:37.242,00:34:38.410,00:34:39.452,00:34:43.290,00:34:44.791,00:34:48.545,00:34:49.921,00:34:51.756,00:35:06.396,00:35:17.657,00:35:40.430,00:36:06.289,00:36:24.933,00:36:28.561,00:36:34.150,00:36:35.944,00:36:39.072,00:37:35.462,00:37:43.178,00:37:54.063,00:37:57.567,00:38:07.827,00:38:11.039,00:38:17.629,00:38:27.764,00:39:01.214,00:40:43.900,00:42:15.116,00:42:33.426,00:43:00.745,00:43:07.376,00:47:13.748,00:47:16.208,00:48:28.114,00:48:35.371,00:48:37.581,00:48:51.262,00:48:54.473,00:48:59.019,00:48:59.937,00:49:06.777,00:49:09.530,00:49:15.911,00:49:18.831,00:49:25.796,00:49:28.883,00:49:47.359,00:49:50.988,00:49:57.953,00:49:59.622,00:50:24.897,00:50:33.906,00:50:35.950,00:50:37.618,00:50:41.789,00:50:47.795,00:51:23.664,00:52:01.201,00:52:05.748,00:52:43.869,00:52:46.080,00:52:55.297,00:52:57.508,00:53:04.848,00:53:16.110,00:53:18.862,00:53:21.865,00:53:26.620,00:53:29.289,00:53:37.131,00:53:38.424,00:53:44.513,00:53:53.021,00:53:55.232,00:54:00.612,00:54:10.706,00:54:37.733,00:56:56.121,00:57:38.413,00:58:54.239,01:00:15.111,01:00:42.305,01:00:59.072,01:01:02.701,01:01:04.327,01:01:10.208,01:01:11.501,01:01:17.841,01:01:26.683,01:01:29.811,01:01:32.063,01:01:35.525,01:01:37.485,01:01:38.361,01:01:39.905,01:01:43.617,01:02:25.283,01:02:26.993,01:02:31.456,01:02:36.127,01:02:39.297,01:02:45.595,01:02:53.853,01:02:56.356,01:03:03.238,01:03:05.824,01:03:10.078,01:03:11.538,01:03:14.916,01:03:16.376,01:03:26.011,01:03:37.272,01:04:03.757,01:04:08.595,01:04:28.907,01:04:31.076,01:04:38.416,01:04:49.594,01:04:50.720,01:04:52.222,01:05:01.064,01:05:07.195,01:05:13.618,01:05:15.411,01:05:18.790,01:05:20.875,01:05:23.586,01:05:46.734,01:05:49.904,01:05:56.119,01:06:09.174,01:06:11.467,01:06:26.149,01:06:28.860,01:06:38.786,01:06:56.054,01:07:46.437,01:07:49.274,01:07:51.442,01:07:56.823,01:07:58.658,01:08:06.207,01:08:09.043,01:08:12.088,01:08:13.673,01:08:16.092,01:08:17.719,01:08:30.606,01:08:31.608,01:08:52.837,01:08:54.964,01:08:56.466,01:08:58.968,01:09:33.002,01:09:36.672,01:09:37.673,01:11:36.959,01:11:44.634,01:12:31.222,01:15:11.465,01:16:43.557,01:16:46.101,01:16:50.648,01:17:02.368,01:17:12.127,01:17:51.041,01:17:57.256,01:17:59.633,01:18:08.559,01:18:09.768,01:18:22.489,01:18:24.366,01:18:27.202,01:18:37.379,01:18:39.298,01:18:40.674,01:18:47.640,01:19:14.625,01:19:32.059,01:20:06.301,01:20:52.848,01:21:00.981,01:21:03.484,01:21:05.861,01:21:10.115,01:21:17.206,01:21:19.875,01:21:28.634,01:21:51.281,01:22:21.019,01:22:24.731,01:22:41.373,01:22:48.672,01:22:50.799,01:22:53.844,01:22:56.388,01:22:59.349,01:23:01.810,01:23:10.360,01:23:15.657,01:23:22.831,01:23:24.666,01:23:27.294,01:23:29.963,01:23:36.970,01:23:39.848,01:23:47.689,01:23:52.527,01:23:58.492,01:24:00.786,01:24:02.913,01:24:04.665,01:24:09.378,01:24:16.301,01:24:27.980,01:24:33.110,01:25:20.866,01:26:41.113,01:26:42.197,01:26:54.167,01:26:55.877,01:27:02.884,01:27:21.736,01:27:27.993,01:27:29.161,01:27:34.082,01:28:10.202,01:28:47.948,01:28:53.912,01:30:08.236,01:30:10.196,01:30:18.413,01:30:32.969,01:30:38.808,01:32:12.902,01:32:27.959,01:32:30.295,01:32:35.216,01:32:39.304,01:33:11.002,01:33:20.136,01:33:28.853,01:33:32.398,01:33:35.235,01:35:28.556,01:37:23.546,01:37:55.995,01:38:03.628,01:38:05.296,01:38:06.547,01:38:08.174,01:38:09.342,01:38:12.970,01:38:19.894,01:38:21.229,01:38:27.610,01:38:28.903,01:38:30.655,01:38:36.577,01:38:38.246,01:38:45.086,01:38:46.629,01:38:51.384,01:38:53.594,01:38:54.762,01:38:56.472,01:39:07.066,01:39:10.987,01:39:40.433,01:39:42.685
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,3724,00:02:35.322,155.322,3724,00:02:35.322,155.322
2,3725,00:02:35.322,155.322,3829,00:02:39.701,159.701,105,00:00:04.379,4.379
3,3830,00:02:39.701,159.701,7154,00:04:58.381,298.381,3325,00:02:18.680,138.680
4,7155,00:04:58.381,298.381,7244,00:05:02.135,302.135,90,00:00:03.754,3.754
5,7245,00:05:02.135,302.135,7282,00:05:03.720,303.720,38,00:00:01.585,1.585
6,7283,00:05:03.720,303.720,7384,00:05:07.974,307.974,102,00:00:04.254,4.254
7,7385,00:05:07.974,307.974,7746,00:05:23.073,323.073,362,00:00:15.098,15.098
8,7747,00:05:23.073,323.073,7779,00:05:24.449,324.449,33,00:00:01.376,1.376
9,7780,00:05:24.449,324.449,8123,00:05:38.797,338.797,344,00:00:14.348,14.348
10,8124,00:05:38.797,338.797,8187,00:05:41.466,341.466,64,00:00:02.669,2.669
11,8188,00:05:41.466,341.466,16773,00:11:39.574,699.574,8586,00:05:58.108,358.108
12,16774,00:11:39.574,699.574,16819,00:11:41.492,701.492,46,00:00:01.919,1.919
13,16820,00:11:41.492,701.492,16851,00:11:42.827,702.827,32,00:00:01.335,1.335
14,16852,00:11:42.827,702.827,16983,00:11:48.333,708.333,132,00:00:05.505,5.505
15,16984,00:11:48.333,708.333,17043,00:11:50.835,710.835,60,00:00:02.502,2.502
16,17044,00:11:50.835,710.835,17139,00:11:54.839,714.839,96,00:00:04.004,4.004
17,17140,00:11:54.839,714.839,17910,00:12:26.996,746.996,771,00:00:32.157,32.157
18,17911,00:12:26.996,746.996,18469,00:12:50.311,770.311,559,00:00:23.315,23.315
19,18470,00:12:50.311,770.311,18531,00:12:52.897,772.897,62,00:00:02.586,2.586
20,18532,00:12:52.897,772.897,18609,00:12:56.150,776.150,78,00:00:03.253,3.253
21,18610,00:12:56.150,776.150,18706,00:13:00.196,780.196,97,00:00:04.046,4.046
22,18707,00:13:00.196,780.196,18772,00:13:02.949,782.949,66,00:00:02.753,2.753
23,18773,00:13:02.949,782.949,18925,00:13:09.330,789.330,153,00:00:06.381,6.381
24,18926,00:13:09.330,789.330,18967,00:13:11.082,791.082,42,00:00:01.752,1.752
25,18968,00:13:11.082,791.082,19046,00:13:14.377,794.377,79,00:00:03.295,3.295
26,19047,00:13:14.377,794.377,19208,00:13:21.134,801.134,162,00:00:06.757,6.757
27,19209,00:13:21.134,801.134,19380,00:13:28.307,808.307,172,00:00:07.174,7.174
28,19381,00:13:28.307,808.307,19405,00:13:29.350,809.350,25,00:00:01.043,1.043
29,19406,00:13:29.350,809.350,19770,00:13:44.574,824.574,365,00:00:15.224,15.224
30,19771,00:13:44.574,824.574,20217,00:14:03.217,843.217,447,00:00:18.644,18.644
31,20218,00:14:03.217,843.217,20323,00:14:07.638,847.638,106,00:00:04.421,4.421
32,20324,00:14:07.638,847.638,22515,00:15:39.063,939.063,2192,00:01:31.425,91.425
33,22516,00:15:39.063,939.063,22562,00:15:41.023,941.023,47,00:00:01.960,1.960
34,22563,00:15:41.023,941.023,22649,00:15:44.652,944.652,87,00:00:03.629,3.629
35,22650,00:15:44.652,944.652,22680,00:15:45.945,945.945,31,00:00:01.293,1.293
36,22681,00:15:45.945,945.945,22720,00:15:47.613,947.613,40,00:00:01.668,1.668
37,22721,00:15:47.613,947.613,23121,00:16:04.338,964.338,401,00:00:16.725,16.725
38,23122,00:16:04.338,964.338,23250,00:16:09.719,969.719,129,00:00:05.380,5.380
39,23251,00:16:09.719,969.719,23438,00:16:17.560,977.560,188,00:00:07.841,7.841
40,23439,00:16:17.560,977.560,24389,00:16:57.225,1017.225,951,00:00:39.665,39.665
41,24390,00:16:57.225,1017.225,26660,00:18:31.944,1111.944,2271,00:01:34.720,94.720
42,26661,00:18:31.944,1111.944,26822,00:18:38.701,1118.701,162,00:00:06.757,6.757
43,26823,00:18:38.701,1118.701,26852,00:18:39.952,1119.952,30,00:00:01.251,1.251
44,26853,00:18:39.952,1119.952,27448,00:19:04.810,1144.810,596,00:00:24.858,24.858
45,27449,00:19:04.810,1144.810,27560,00:19:09.482,1149.482,112,00:00:04.671,4.671
46,27561,00:19:09.482,1149.482,27709,00:19:15.696,1155.696,149,00:00:06.215,6.215
47,27710,00:19:15.696,1155.696,28411,00:19:44.975,1184.975,702,00:00:29.279,29.279
48,28412,00:19:44.975,1184.975,28582,00:19:52.108,1192.108,171,00:00:07.132,7.132
49,28583,00:19:52.108,1192.108,29495,00:20:30.187,1230.187,913,00:00:38.080,38.080
50,29496,00:20:30.187,1230.187,29752,00:20:40.906,1240.906,257,00:00:10.719,10.719
51,29753,00:20:40.906,1240.906,29817,00:20:43.617,1243.617,65,00:00:02.711,2.711
52,29818,00:20:43.617,1243.617,29884,00:20:46.412,1246.412,67,00:00:02.794,2.794
53,29885,00:20:46.412,1246.412,29935,00:20:48.539,1248.539,51,00:00:02.127,2.127
54,29936,00:20:48.539,1248.539,30010,00:20:51.667,1251.667,75,00:00:03.128,3.128
55,30011,00:20:51.667,1251.667,30060,00:20:53.752,1253.752,50,00:00:02.085,2.085
56,30061,00:20:53.752,1253.752,30478,00:21:11.187,1271.187,418,00:00:17.434,17.434
57,30479,00:21:11.187,1271.187,33012,00:22:56.875,1376.875,2534,00:01:45.689,105.689
58,33013,00:22:56.875,1376.875,33605,00:23:21.609,1401.609,593,00:00:24.733,24.733
59,33606,00:23:21.609,1401.609,33762,00:23:28.157,1408.157,157,00:00:06.548,6.548
60,33763,00:23:28.157,1408.157,37652,00:26:10.402,1570.402,3890,00:02:42.245,162.245
61,37653,00:26:10.402,1570.402,37749,00:26:14.448,1574.448,97,00:00:04.046,4.046
62,37750,00:26:14.448,1574.448,38249,00:26:35.302,1595.302,500,00:00:20.854,20.854
