Timecode List:,00:02:32.319,00:02:36.907,00:03:54.484,00:04:01.741,00:04:04.161,00:04:06.705,00:04:08.123,00:04:31.938,00:05:10.936,00:05:12.812,00:07:36.206,00:07:40.627,00:07:43.421,00:07:58.478,00:08:56.995,00:09:07.756,00:09:10.175,00:09:37.827,00:09:39.287,00:09:42.791,00:10:10.401,00:11:34.569,00:11:37.739,00:11:42.744,00:12:25.912,00:12:37.215,00:12:39.634,00:13:14.794,00:13:19.382,00:13:32.270,00:13:37.900,00:13:44.365,00:13:53.916,00:13:55.877,00:14:19.192,00:14:21.819,00:14:23.154,00:14:25.198,00:14:31.329,00:14:36.417,00:15:02.276,00:15:05.113,00:15:10.993,00:15:16.707,00:15:22.046,00:15:45.194,00:16:28.654,00:16:48.424,00:17:21.374,00:17:48.901,00:17:58.536,00:18:28.524,00:18:30.526,00:18:35.323,00:18:43.998,00:18:45.583,00:18:50.546,00:18:56.677,00:18:58.429,00:19:05.019,00:19:08.230,00:19:25.623,00:19:32.046,00:19:35.049,00:19:37.051,00:19:48.562,00:19:52.108,00:19:54.985,00:20:23.931,00:25:12.636,00:25:48.422,00:25:59.099,00:26:02.770,00:27:09.670,00:27:11.338,00:27:14.299,00:27:15.676,00:33:40.268,00:33:56.284,00:47:31.098,00:51:04.520,00:56:53.035,00:57:51.218,00:57:55.972,00:58:04.648,00:58:50.944,00:58:57.743,00:59:02.372,00:59:07.461,00:59:22.350,00:59:24.936,00:59:31.193,00:59:46.374,01:00:29.417,01:03:15.917,01:03:19.921,01:03:22.632,01:03:31.266,01:03:34.728,01:03:37.313,01:03:54.330,01:04:10.805,01:04:33.620,01:04:40.251,01:04:42.253,01:04:55.225,01:05:39.811,01:06:03.626,01:06:05.128,01:06:53.343,01:07:16.491,01:07:25.792,01:07:31.881,01:07:44.227,01:07:49.357,01:07:53.611,01:08:01.953,01:10:17.255,01:12:52.785,01:13:46.297,01:13:48.007,01:14:24.418,01:14:29.131,01:14:32.385,01:14:34.637,01:14:36.639,01:14:41.936,01:14:44.522,01:14:52.363,01:14:58.369,01:15:05.167,01:15:07.586,01:15:22.935,01:15:39.452,01:15:48.753,01:15:54.008,01:16:12.234,01:16:15.362,01:16:20.409,01:16:23.204,01:16:24.830,01:16:25.998,01:16:27.249,01:16:28.375,01:16:36.967,01:17:22.471,01:17:23.973,01:17:28.018,01:17:36.277,01:17:38.153,01:19:32.768,01:19:39.817,01:19:41.485,01:19:42.861,01:19:45.948,01:19:51.370,01:19:54.289,01:20:05.300,01:20:10.597,01:20:39.793,01:20:42.337,01:21:26.799,01:21:41.063,01:22:29.111,01:22:32.114,01:22:39.454,01:22:45.627,01:22:47.254,01:22:52.801,01:22:58.724,01:23:05.856,01:23:08.734,01:23:09.902,01:23:14.823,01:23:23.916,01:23:32.841,01:23:34.134,01:23:35.385,01:23:43.060,01:23:44.228,01:23:58.033,01:23:59.868,01:24:02.496,01:24:05.415,01:24:08.252,01:24:21.139,01:24:30.107,01:24:32.818,01:24:38.490,01:24:41.243,01:24:44.413,01:24:53.255,01:24:57.426,01:25:02.055,01:25:03.765,01:25:05.017,01:25:06.018,01:25:11.690,01:25:21.158,01:25:26.913,01:25:28.582,01:25:35.714,01:25:39.676,01:25:40.927,01:25:45.015,01:25:47.476,01:25:51.396,01:25:53.273,01:25:55.859,01:26:02.824
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,3652,00:02:32.319,152.319,3652,00:02:32.319,152.319
2,3653,00:02:32.319,152.319,3762,00:02:36.907,156.907,110,00:00:04.588,4.588
3,3763,00:02:36.907,156.907,5622,00:03:54.484,234.484,1860,00:01:17.578,77.578
4,5623,00:03:54.484,234.484,5796,00:04:01.741,241.741,174,00:00:07.257,7.257
5,5797,00:04:01.741,241.741,5854,00:04:04.161,244.161,58,00:00:02.419,2.419
6,5855,00:04:04.161,244.161,5915,00:04:06.705,246.705,61,00:00:02.544,2.544
7,5916,00:04:06.705,246.705,5949,00:04:08.123,248.123,34,00:00:01.418,1.418
8,5950,00:04:08.123,248.123,6520,00:04:31.938,271.938,571,00:00:23.815,23.815
9,6521,00:04:31.938,271.938,7455,00:05:10.936,310.936,935,00:00:38.997,38.997
10,7456,00:05:10.936,310.936,7500,00:05:12.812,312.812,45,00:00:01.877,1.877
11,7501,00:05:12.812,312.812,10938,00:07:36.206,456.206,3438,00:02:23.393,143.393
12,10939,00:07:36.206,456.206,11044,00:07:40.627,460.627,106,00:00:04.421,4.421
13,11045,00:07:40.627,460.627,11111,00:07:43.421,463.421,67,00:00:02.794,2.794
14,11112,00:07:43.421,463.421,11472,00:07:58.478,478.478,361,00:00:15.057,15.057
15,11473,00:07:58.478,478.478,12875,00:08:56.995,536.995,1403,00:00:58.517,58.517
16,12876,00:08:56.995,536.995,13133,00:09:07.756,547.756,258,00:00:10.761,10.761
17,13134,00:09:07.756,547.756,13191,00:09:10.175,550.175,58,00:00:02.419,2.419
18,13192,00:09:10.175,550.175,13854,00:09:37.827,577.827,663,00:00:27.653,27.653
19,13855,00:09:37.827,577.827,13889,00:09:39.287,579.287,35,00:00:01.460,1.460
20,13890,00:09:39.287,579.287,13973,00:09:42.791,582.791,84,00:00:03.503,3.503
21,13974,00:09:42.791,582.791,14635,00:10:10.401,610.401,662,00:00:27.611,27.611
22,14636,00:10:10.401,610.401,16653,00:11:34.569,694.569,2018,00:01:24.167,84.167
23,16654,00:11:34.569,694.569,16729,00:11:37.739,697.739,76,00:00:03.170,3.170
24,16730,00:11:37.739,697.739,16849,00:11:42.744,702.744,120,00:00:05.005,5.005
25,16850,00:11:42.744,702.744,17884,00:12:25.912,745.912,1035,00:00:43.168,43.168
26,17885,00:12:25.912,745.912,18155,00:12:37.215,757.215,271,00:00:11.303,11.303
27,18156,00:12:37.215,757.215,18213,00:12:39.634,759.634,58,00:00:02.419,2.419
28,18214,00:12:39.634,759.634,19056,00:13:14.794,794.794,843,00:00:35.160,35.160
29,19057,00:13:14.794,794.794,19166,00:13:19.382,799.382,110,00:00:04.588,4.588
30,19167,00:13:19.382,799.382,19475,00:13:32.270,812.270,309,00:00:12.888,12.888
31,19476,00:13:32.270,812.270,19610,00:13:37.900,817.900,135,00:00:05.631,5.631
32,19611,00:13:37.900,817.900,19765,00:13:44.365,824.365,155,00:00:06.465,6.465
33,19766,00:13:44.365,824.365,19994,00:13:53.916,833.916,229,00:00:09.551,9.551
34,19995,00:13:53.916,833.916,20041,00:13:55.877,835.877,47,00:00:01.960,1.960
35,20042,00:13:55.877,835.877,20600,00:14:19.192,859.192,559,00:00:23.315,23.315
36,20601,00:14:19.192,859.192,20663,00:14:21.819,861.819,63,00:00:02.628,2.628
37,20664,00:14:21.819,861.819,20695,00:14:23.154,863.154,32,00:00:01.335,1.335
38,20696,00:14:23.154,863.154,20744,00:14:25.198,865.198,49,00:00:02.044,2.044
