filename,url,outcome,log_message,language,video_quality,file_type,file_size
Sabrina_1954,www.youtube.com/watch?v=xYgoNiSo-kY,skipped,"File with base name 'Sabrina_1954' already exists and is valid in ../data/videos/romance, skipping download.",,,,
The_Last_Time_I_Saw_Paris_1954,www.youtube.com/watch?v=UdPV5tSmO1M,skipped,"File with base name 'The_Last_Time_I_Saw_Paris_1954' already exists and is valid in ../data/videos/romance, skipping download.",,,,
A_Letter_to_Three_Wives_1949,www.youtube.com/watch?v=ZwhNFVTelMo,skipped,"File with base name 'A_Letter_to_Three_Wives_1949' already exists and is valid in ../data/videos/romance, skipping download.",,,,
Arch_of_Triumph_1948,www.youtube.com/watch?v=cuHm3RCZF4o,skipped,"File with base name 'Arch_of_Triumph_1948' already exists and is valid in ../data/videos/romance, skipping download.",,,,
September_Affair_1950,www.youtube.com/watch?v=OmXX80pTCCw,skipped,"File with base name 'September_Affair_1950' already exists and is valid in ../data/videos/romance, skipping download.",,,,
Too_Many_Husbands_1954,www.youtube.com/watch?v=Jn0YTKCndLc,skipped,"File with base name 'Too_Many_Husbands_1954' already exists and is valid in ../data/videos/romance, skipping download.",,,,
The_Last_Time_I_Saw_Paris_1954,www.youtube.com/watch?v=UdPV5tSmO1M,skipped,"File with base name 'The_Last_Time_I_Saw_Paris_1954' already exists and is valid in ../data/videos/romance, skipping download.",,,,
Magic_Town_1947,www.youtube.com/watch?v=liMwhCnJf8U,skipped,"File with base name 'Magic_Town_1947' already exists and is valid in ../data/videos/romance, skipping download.",,,,
Tonight_and_Every_Night_1945,www.youtube.com/watch?v=simDMIU1qVo,skipped,"File with base name 'Tonight_and_Every_Night_1945' already exists and is valid in ../data/videos/romance, skipping download.",,,,
I_Can_Get_It_For_You_Wholesale_1951,www.youtube.com/watch?v=13eJdf1xVmE,skipped,"File with base name 'I_Can_Get_It_For_You_Wholesale_1951' already exists and is valid in ../data/videos/romance, skipping download.",,,,
The_Million_Pound_Note_1954,www.youtube.com/watch?v=gyePJXDB-uQ,skipped,"File with base name 'The_Million_Pound_Note_1954' already exists and is valid in ../data/videos/comedy, skipping download.",,,,
The_Caddy_1953,www.youtube.com/watch?v=Dn8rJyLBY8c,skipped,"File with base name 'The_Caddy_1953' already exists and is valid in ../data/videos/comedy, skipping download.",,,,
You're_Never_Too_Young_1955,www.youtube.com/watch?v=DYUF2hqhP3w,skipped,"File with base name 'You're_Never_Too_Young_1955' already exists and is valid in ../data/videos/comedy, skipping download.",,,,
Road_to_Bali_1952,www.youtube.com/watch?v=9WNBYmHvNn0,skipped,"File with base name 'Road_to_Bali_1952' already exists and is valid in ../data/videos/comedy, skipping download.",,,,
Sitting_Pretty_1948,www.youtube.com/watch?v=kgcNdOHZW6I,skipped,"File with base name 'Sitting_Pretty_1948' already exists and is valid in ../data/videos/comedy, skipping download.",,,,
Sorrowful_Jones_1949,www.youtube.com/watch?v=f8IZGi_SSjc,skipped,"File with base name 'Sorrowful_Jones_1949' already exists and is valid in ../data/videos/comedy, skipping download.",,,,
Monkey_Business_1952,www.youtube.com/watch?v=_31eW3AnakE,skipped,"File with base name 'Monkey_Business_1952' already exists and is valid in ../data/videos/comedy, skipping download.",,,,
The_Jackpot_1950,www.youtube.com/watch?v=QXoA6dFroxg,skipped,"File with base name 'The_Jackpot_1950' already exists and is valid in ../data/videos/comedy, skipping download.",,,,
Gentlemen_Prefer_Blondes_1953,www.youtube.com/watch?v=WYVri7M6Ji8,skipped,"File with base name 'Gentlemen_Prefer_Blondes_1953' already exists and is valid in ../data/videos/comedy, skipping download.",,,,
Father's_Little_Dividend_1951,www.youtube.com/watch?v=YM6598Z-tGQ,skipped,"File with base name 'Father's_Little_Dividend_1951' already exists and is valid in ../data/videos/comedy, skipping download.",,,,
Stalag_17_1953,www.youtube.com/watch?v=njcqwleu9kc,skipped,"File with base name 'Stalag_17_1953' already exists and is valid in ../data/videos/drama, skipping download.",,,,
The_Razor's_Edge_1946,www.youtube.com/watch?v=aQ26TUBqJAE,skipped,"File with base name 'The_Razor's_Edge_1946' already exists and is valid in ../data/videos/drama, skipping download.",,,,
All_My_Sons_1948,www.youtube.com/watch?v=qpYPbrRoQbU,skipped,"File with base name 'All_My_Sons_1948' already exists and is valid in ../data/videos/drama, skipping download.",,,,
House_of_Strangers_1949,www.youtube.com/watch?v=dr6Pr6S9eyA,skipped,"File with base name 'House_of_Strangers_1949' already exists and is valid in ../data/videos/drama, skipping download.",,,,
Sentimental_Journey_1946,www.youtube.com/watch?v=8NrEBj787Xk,skipped,"File with base name 'Sentimental_Journey_1946' already exists and is valid in ../data/videos/drama, skipping download.",,,,
Rope_of_Sand_1949,www.youtube.com/watch?v=ykiYahAJBsQ,skipped,"File with base name 'Rope_of_Sand_1949' already exists and is valid in ../data/videos/adventure, skipping download.",,,,
Captain_Pirate_1952,www.youtube.com/watch?v=sGc9GrBJ6Qo,skipped,"File with base name 'Captain_Pirate_1952' already exists and is valid in ../data/videos/adventure, skipping download.",,,,
Captain_Kidd_1945,www.youtube.com/watch?v=mu1UipmP5FI,skipped,"File with base name 'Captain_Kidd_1945' already exists and is valid in ../data/videos/adventure, skipping download.",,,,
Wake_of_the_Red_Witch_1948,/www.youtube.com/watch?v=jmCePJPvPbk,skipped,"File with base name 'Wake_of_the_Red_Witch_1948' already exists and is valid in ../data/videos/adventure, skipping download.",,,,
The_Big_Cat_1949,www.youtube.com/watch?v=WlQ3M-T1EuU,skipped,"File with base name 'The_Big_Cat_1949' already exists and is valid in ../data/videos/adventure, skipping download.",,,,
Beneath_the_12-Mile_Reef_1953,www.youtube.com/watch?v=A577UAwKytg,skipped,"File with base name 'Beneath_the_12-Mile_Reef_1953' already exists and is valid in ../data/videos/adventure, skipping download.",,,,
Prince_of_Foxes_1949,www.youtube.com/watch?v=kJILFPyczNo,skipped,"File with base name 'Prince_of_Foxes_1949' already exists and is valid in ../data/videos/adventure, skipping download.",,,,
